exponent,min_runtime_new,min_runtime_old
336,5.070003680884838e-06,4.383000486996025e-05
337,5.590001819655299e-06,4.491998697631061e-05
338,5.560010322369635e-06,4.427999374456704e-05
339,5.93998993281275e-06,4.422999336384237e-05
340,5.440000677481294e-06,4.256000102031976e-05
341,5.589987267740071e-06,4.4770000386051834e-05
342,6.080008461140096e-06,4.846000229008496e-05
343,6.46000262349844e-06,4.889999399892986e-05
344,5.350011633709073e-06,4.8999994760379195e-05
345,6.250003934837878e-06,4.898000042885542e-05
346,6.06999674346298e-06,4.940999497193843e-05
347,6.740010576322675e-06,4.8919988330453634e-05
348,5.690992111340165e-06,4.892000288236886e-05
349,6.640009814873338e-06,4.934000025968999e-05
350,6.400005077011883e-06,4.9749010941013694e-05
351,6.369999027810991e-06,4.75799897685647e-05
352,5.1000097300857306e-06,4.726000770460814e-05
353,5.63000503461808e-06,4.7259993152692914e-05
354,5.589987267740071e-06,4.749000072479248e-05
355,6.050002411939204e-06,4.7430003178305924e-05
356,5.580004653893411e-06,4.7599998652003706e-05
357,6.050002411939204e-06,4.8299989430233836e-05
358,6.009999196976423e-06,4.949999856762588e-05
359,6.450005457736552e-06,4.884001100435853e-05
360,5.610010703094304e-06,4.9269990995526314e-05
361,5.970010533928871e-06,4.93300030939281e-05
362,5.959998816251755e-06,4.923000233247876e-05
363,6.429996574297547e-06,4.9659996875561774e-05
364,5.990004865452647e-06,5.079999391455203e-05
365,6.739996024407446e-06,5.0699993153102696e-05
366,6.629998097196221e-06,5.3880008636042476e-05
367,7.120004738681018e-06,5.255000723991543e-05
368,5.930007318966091e-06,5.247999797575176e-05
369,6.180009222589433e-06,4.954000178258866e-05
370,6.119997124187648e-06,5.089999467600137e-05
371,6.639995262958109e-06,4.9609996494837105e-05
372,6.260001100599766e-06,5.005999992135912e-05
373,6.739996024407446e-06,5.005999992135912e-05
374,6.749993190169334e-06,4.980999801773578e-05
375,7.220005500130355e-06,5.0439994083717465e-05
376,6.100002792663872e-06,5.060000694356859e-05
377,6.640009814873338e-06,5.2139992476440966e-05
378,6.28999259788543e-06,5.09000092279166e-05
379,6.7699875216931105e-06,4.985000123269856e-05
380,6.579997716471553e-06,5.133000377099961e-05
381,7.120004738681018e-06,5.146900366526097e-05
382,6.920003215782344e-06,5.1620008889585733e-05
383,7.340000593103468e-06,5.2100003813393414e-05
384,5.1000097300857306e-06,5.1830997108481824e-05
385,5.590001819655299e-06,5.2750998293049634e-05
386,5.559995770454407e-06,5.231100658420473e-05
387,6.079993909224868e-06,5.330999556463212e-05
388,5.249996320344508e-06,5.269001121632755e-05
389,5.940004484727979e-06,5.464999412652105e-05
390,6.019996362738311e-06,5.350999708753079e-05
391,6.450005457736552e-06,5.398999201133847e-05
392,5.680005415342748e-06,5.291000707075e-05
393,5.429988959804177e-06,5.1619994337670505e-05
394,6.070011295378208e-06,5.4549993365071714e-05
395,6.390007911249995e-06,5.50499971723184e-05
396,5.828987923450768e-06,5.3840994951315224e-05
